city,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Dalli Rajhara,20.5884403,81.071724,2025-11-24 00:00:00,38.1,38.9,10.0,68.0,7.8,526.0,Satisfactory
Dharamjaigarh,22.4596261,83.2089182,2025-11-24 00:00:00,80.8,83.6,9.9,67.0,21.7,430.0,Moderate
Champa,22.0308423,82.6460412,2025-11-24 00:00:00,145.3,147.6,32.3,60.0,52.3,667.0,Very Poor
Janjgir,22.0090841,82.578896,2025-11-24 00:00:00,130.4,132.7,33.7,54.0,57.8,667.0,Very Poor
Seorinarayan,21.7211969,82.5947365,2025-11-24 00:00:00,95.0,96.9,9.1,107.0,35.6,584.0,Poor
Amrapara,24.5189307,87.5703736,2025-11-24 00:00:00,105.9,112.0,14.1,81.0,17.9,423.0,Poor
Gariaband,20.633566,82.0635429,2025-11-24 00:00:00,40.5,41.6,7.0,67.0,9.4,352.0,Satisfactory
Chhura,20.8111214,82.2087641,2025-11-24 00:00:00,46.1,47.4,7.1,82.0,12.5,332.0,Satisfactory
Sholinghur,13.1151925,79.4231084,2025-11-24 00:00:00,10.4,12.5,9.6,48.0,4.9,265.0,Good
Chamorshi,19.9370829,79.8893906,2025-11-24 00:00:00,32.9,33.9,5.9,57.0,6.2,384.0,Satisfactory
Gadchiroli,20.1853965,80.003509,2025-11-24 00:00:00,32.9,33.9,5.9,57.0,6.2,506.0,Satisfactory
Paikar,24.4333953,87.914272,2025-11-24 00:00:00,126.2,130.4,17.9,72.0,19.4,730.0,Very Poor
Ambad,19.6145861,75.7946725,2025-11-24 00:00:00,27.4,27.9,9.1,64.0,5.7,459.0,Good
Kadegaon,17.2979469,74.3319353,2025-11-24 00:00:00,38.4,39.5,24.3,40.0,6.6,384.0,Satisfactory
Keesara,17.5249309,78.6665345,2025-11-24 00:00:00,32.8,34.3,7.7,102.0,7.5,378.0,Satisfactory
Ter,18.3198392,76.1411535,2025-11-24 00:00:00,18.0,18.5,5.1,80.0,3.8,458.0,Good
Amangal,16.8497797,78.5325679,2025-11-24 00:00:00,20.5,21.5,5.7,70.0,5.0,326.0,Good
Gurgaon,28.4646148,77.0299194,2025-11-24 00:00:00,172.3,174.6,99.7,16.0,54.5,1494.0,Very Poor
Kadthal,16.9847566,78.4997445,2025-11-24 00:00:00,20.5,21.5,5.7,70.0,5.0,312.0,Good
Mangkolemba,26.4988414,94.4407904,2025-11-24 00:00:00,28.0,28.6,15.8,21.0,2.1,343.0,Good
Alichen,26.2712924,94.455345,2025-11-24 00:00:00,28.0,28.6,15.8,21.0,2.1,277.0,Good
Khilla Ghanpur,16.5738327,78.0509278,2025-11-24 00:00:00,13.5,14.2,4.7,60.0,3.1,291.0,Good
Jadcherla,16.7699159,78.1377227,2025-11-24 00:00:00,18.2,18.9,5.7,62.0,4.3,327.0,Good
Achampet,16.3999846,78.6379866,2025-11-24 00:00:00,13.6,14.7,5.9,60.0,2.7,257.0,Good
Nagarkurnool,16.4870296,78.3169003,2025-11-24 00:00:00,13.4,14.3,4.8,61.0,2.6,282.0,Good
Tadoor,16.5194567,78.3608653,2025-11-24 00:00:00,13.4,14.3,4.8,61.0,2.6,320.0,Good
Kalwakurthy,16.6721316,78.4880729,2025-11-24 00:00:00,20.5,21.5,5.7,70.0,5.0,317.0,Good
Naginimora,26.8109509,94.8099886,2025-11-24 00:00:00,33.2,33.9,19.5,5.0,1.3,476.0,Satisfactory
